Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
1.0,2,2.0,3,0,1.0,1,0,0,0,0,1,1,0,3,68,1478.0,2.0,0.0,1.69
0.0,2,2.0,3,0,1.0,0,0,0,0,1,0,0,0,1,65,1261.0,1.0,0.0,2.23
2.0,2,2.0,2,0,1.0,1,0,0,0,1,1,1,0,2,113,1768.5000000000002,2.0,1.0,1.98
2.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,2,79,1890.0,2.0,1.0,1.99
0.0,2,2.0,2,0,1.0,0,0,0,0,1,1,1,0,2,78,1350.0,1.0,2.0,1.67
2.0,2,2.0,2,0,1.0,1,0,0,0,1,1,1,0,2,79,1917.0,2.0,1.0,1.99
1.0,2,2.0,3,1,1.0,0,1,0,0,1,1,0,0,1,89,1645.0,2.0,2.0,1.69
4.0,2,3.0,3,1,0.0,0,1,0,0,1,0,0,0,3,66,1486.0,1.0,2.0,2.05
0.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,1,92,1417.5,2.0,1.0,1.1
3.0,2,2.0,2,1,1.0,0,0,0,0,0,0,0,0,1,62,1809.6,1.0,1.0,3.3
0.0,2,2.0,3,0,1.0,0,0,0,0,1,1,0,0,1,65,1310.0,1.0,2.0,2.36
0.0,2,2.0,3,0,1.0,1,0,0,0,1,1,0,0,1,65,1516.0,1.0,2.0,2.8
4.0,2,2.0,2,1,1.0,1,1,0,0,1,1,1,0,1,61,1552.5,1.0,2.0,1.75
1.0,2,2.0,2,0,0.0,0,0,0,0,1,0,0,0,1,107,660.1500000000001,0.0,2.0,0.44
1.0,2,2.0,3,0,1.0,1,0,0,0,1,1,1,0,1,33,1694.25,1.0,2.0,1.6
0.0,2,2.0,2,0,1.0,0,0,0,0,0,1,1,0,1,102,1198.0,2.0,1.0,1.6
4.0,2,2.0,4,1,1.0,1,0,0,0,1,1,1,0,2,92,1190.0,1.0,2.0,1.4
4.0,2,2.0,1,0,1.0,0,0,0,0,1,0,0,0,3,70,676.35,2.0,2.0,0.65
4.0,2,2.0,2,0,1.0,0,0,1,0,0,1,1,0,2,89,1250.0,2.0,0.0,2.07
4.0,2,3.0,3,1,0.0,0,0,0,0,1,1,0,0,4,66,1158.0,1.0,1.0,1.8
2.0,2,2.0,2,0,1.0,0,1,0,0,1,0,0,0,2,79,1564.65,2.0,2.0,1.65
2.0,2,2.0,3,1,1.0,0,0,0,0,1,0,1,0,1,70,1565.0,2.0,0.0,2.6
3.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,1,3,110,990.0,2.0,2.0,1.3
0.0,2,3.0,3,1,0.0,0,1,0,0,1,1,1,0,3,108,1283.0,1.0,0.0,1.45
0.0,2,2.0,2,1,0.0,0,0,0,0,1,1,1,0,3,108,1381.0,1.0,1.0,2.6
0.0,2,2.0,3,1,1.0,0,0,0,1,1,1,1,0,2,93,1177.2,1.0,0.0,1.05
0.0,2,2.0,1,1,1.0,0,0,0,0,1,1,0,0,3,107,1000.0,0.0,1.0,0.52
4.0,2,2.0,4,0,1.0,0,0,0,1,0,0,0,0,1,106,1102.95,1.0,2.0,1.9
0.0,2,2.0,2,0,0.0,0,0,0,0,1,0,0,0,1,103,1245.0,2.0,2.0,0.75
2.0,2,2.0,2,1,1.0,0,0,0,0,1,0,0,0,4,47,973.0,2.0,2.0,1.28
0.0,2,2.0,2,0,0.0,0,0,0,0,0,0,0,1,2,104,1099.0,2.0,1.0,1.46
0.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,104,2092.5,2.0,0.0,1.84
0.0,2,2.0,3,1,1.0,1,1,0,0,1,1,1,0,2,113,1310.0,1.0,1.0,2.08
0.0,2,2.0,3,1,1.0,1,0,0,0,1,1,1,0,3,37,1540.0,1.0,1.0,1.55
0.0,2,2.0,3,1,1.0,0,0,1,0,1,1,1,0,1,92,1150.8,1.0,2.0,1.05
0.0,2,2.0,3,0,1.0,1,0,0,0,1,1,1,0,3,65,1377.0,2.0,2.0,1.74
3.0,2,2.0,3,0,0.0,0,1,0,0,0,0,0,0,4,108,1173.6,2.0,1.0,1.32
4.0,2,2.0,2,0,0.0,0,0,0,0,0,1,0,0,2,108,1381.0,2.0,2.0,2.05
0.0,2,2.0,3,1,1.0,0,0,0,1,1,1,1,0,2,93,1341.6,1.0,2.0,1.3
2.0,2,2.0,3,1,0.0,1,0,0,0,1,1,1,0,1,89,1103.0,1.0,2.0,1.08
0.0,2,2.0,3,0,1.0,1,0,0,0,1,0,0,0,3,65,1506.0,1.0,2.0,2.57
0.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,0,1,104,1099.0,2.0,1.0,1.45
0.0,2,2.0,2,1,0.0,0,0,0,0,1,1,1,0,2,104,1099.0,2.0,2.0,1.38
0.0,2,2.0,3,0,1.0,0,0,0,0,0,0,0,1,3,68,1245.0,2.0,2.0,1.4
0.0,2,2.0,2,0,1.0,1,1,0,0,0,0,0,1,2,36,1740.0,2.0,2.0,3.5
4.0,2,2.0,3,0,2.0,0,0,0,0,1,1,1,0,1,36,1479.0,0.0,2.0,2.51
2.0,2,2.0,2,1,1.0,0,0,0,0,1,0,0,0,3,77,1342.0,2.0,0.0,1.2
4.0,2,2.0,4,1,1.0,0,0,0,0,0,1,1,0,3,88,1325.0,2.0,1.0,1.4
4.0,2,2.0,1,0,0.0,0,0,0,0,0,0,0,1,1,85,1876.5,2.0,2.0,1.8
2.0,2,2.0,2,1,1.0,0,0,0,0,0,0,1,0,1,70,930.0,2.0,1.0,1.3
4.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,2,36,1479.0,2.0,1.0,2.96
4.0,2,2.0,2,1,1.0,1,1,0,0,1,1,1,0,2,113,1768.5000000000002,2.0,0.0,1.61
0.0,2,2.0,2,0,1.0,0,0,0,0,1,1,1,0,2,33,1343.25,2.0,1.0,1.25
4.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,2,89,1105.0,2.0,2.0,1.08
0.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,1,102,1349.0,1.0,1.0,1.7
2.0,2,2.0,2,1,1.0,0,0,0,0,1,0,0,0,3,77,1342.0,2.0,1.0,1.18
5.0,2,2.0,2,0,1.0,0,0,0,0,1,0,0,0,3,33,1100.0,2.0,2.0,1.5
0.0,2,2.0,3,1,1.0,0,0,0,1,1,0,0,0,2,89,13246.8,2.0,2.0,1.08
7.0,2,2.0,2,1,0.0,0,0,0,0,1,0,0,0,5,107,660.1500000000001,0.0,2.0,0.5
0.0,2,2.0,3,0,1.0,1,0,0,0,1,1,1,0,1,65,1433.0,1.0,1.0,2.58
4.0,2,2.0,4,1,0.0,1,0,0,0,1,1,1,0,1,35,1458.0,2.0,1.0,1.19
