,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
3773,North-East,5,7.0,3+,Yes,Unfurnished,0,0,0,0,1,1,1,0,Moderately Old,70,4600.0,Standard,Mid Floor,4.35
3774,North-East,3,3.0,2,Yes,Semifurnished,0,0,0,1,1,1,1,0,Moderately Old,69,1578.0,Standard,High Floor,2.24
3775,East,3,3.0,3+,Yes,Furnished,1,0,0,0,0,0,0,0,Relatively New,108,2003.0,Luxury,High Floor,2.32
3776,East,4,4.0,3+,Yes,Semifurnished,0,1,0,1,0,1,1,0,Relatively New,67,4189.05,Standard,Mid Floor,6.2
3777,South-West,3,3.0,3,Yes,Semifurnished,1,0,0,1,1,1,1,0,New Property,36,2538.0,Standard,Low Floor,4.7
3778,South-West,3,3.0,3,No,Semifurnished,0,0,0,0,1,1,1,0,New Property,37,1832.0,Luxury,Low Floor,2.0
3779,North-West,4,3.0,3,No,Semifurnished,0,0,0,0,1,1,1,0,New Property,37,2191.0,Luxury,Low Floor,2.41
3780,East,4,4.0,3+,Yes,Semifurnished,1,0,0,1,1,1,1,0,Under Construction,79,2699.0,Standard,High Floor,4.34
3781,West,3,3.0,2,Yes,Semifurnished,0,1,0,0,0,0,0,0,Old Property,28,1777.0,Standard,Low Floor,3.45
3782,East,3,3.0,3,Yes,Unfurnished,0,0,0,1,1,1,1,0,New Property,37,1790.0,Standard,Mid Floor,1.39
3783,North-East,3,3.0,3,Yes,Unfurnished,0,0,0,0,1,1,1,0,New Property,37,1820.0,Standard,Mid Floor,1.39
3784,East,3,4.0,2,No,Semifurnished,0,1,0,0,0,0,1,0,Relatively New,102,2000.0,Luxury,High Floor,2.5
3785,East,3,3.0,2,Yes,Semifurnished,0,1,0,0,1,1,1,0,New Property,111,2970.0,Standard,Mid Floor,4.5
3786,North-East,3,3.0,3,No,Semifurnished,0,0,0,0,0,1,1,0,Under Construction,76,1672.0,Standard,High Floor,2.3
3787,North-East,4,5.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,67,3840.0,Luxury,Mid Floor,5.6
